Company Name,Count,Percentage Allocation,Asset Type,Symbol
Campus Activewear Ltd.,2,1.41,Equity,CAMPUS
Data Patterns (India) Ltd.,3,1.4,Equity,DATAPATTNS
The Jammu & Kashmir Bank Ltd.,2,1.39,Equity,INDHOTEL
JSW Steel Ltd.,2,1.39,Equity,JSWSTEEL
SRF Ltd.,2,1.37,Equity,SRF
Rallis India Ltd.,2,1.37,Equity,RALLIS
Hindustan Copper Ltd.,1,1.36,Equity,HINDUNILVR
L&T Finance Holding Ltd.,1,1.36,Equity,LTTS
Indigo Paints Ltd.,2,1.36,Equity,INDIGOPNTS
Anupam Rasayan India Ltd.,1,1.35,Equity,ANURAS
First Source Solutions Ltd.,1,1.34,Equity,IDFCFIRSTB
Garware Hi-Tech Films Ltd.,1,1.34,Equity,GARFIBRES
Ingersoll-Rand  Ltd.,2,1.34,Equity,
VIP Industries Ltd.,1,1.32,Equity,VIPIND
Concord Biotech Ltd.,1,1.32,Equity,
Brookfield REIT,1,1.32,Others,
Gandhar Oil Refinery (India) Ltd.,2,1.3199999999999998,Equity,
MOIL Ltd.,1,1.28,Equity,MOIL
L&T Technology Services Ltd.,2,1.28,Equity,LTTS
GNA Axles Ltd.,1,1.27,Equity,GNA
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),2,1.27,Equity,360ONE
Sobha Ltd.,2,1.27,Equity,SOBHA
IPCA Laboratories Ltd.,2,1.27,Equity,IPCALAB
Praj Industries Ltd.,1,1.26,Equity,PRAJIND
IRM Energy Ltd.,2,1.26,Equity,ARTNIRMAN
Wipro Ltd.,1,1.24,Equity,WIPRO
Automotive Axles Ltd.,1,1.23,Equity,MAHINDCIE
NRB Bearings Ltd.,1,1.23,Equity,NRBBEARING
Spandana Sphoorty Financial Ltd.,1,1.22,Equity,SPANDANA
Godrej Consumer Products Ltd.,2,1.21,Equity,GODREJCP
TCI Express Ltd.,3,1.21,Equity,TCIEXP
Rishabh Instruments Ltd.,3,1.21,Equity,
Nexus Select Trust,1,1.2,Others,
Tube Investments Of India Ltd.,1,1.18,Equity,TIINDIA
RPG Life Sciences Ltd.,1,1.18,Equity,RPGLIFE
Rategain Travel Technologies Ltd.,1,1.18,Equity,RATEGAIN
Neuland Laboratories Ltd.,1,1.17,Equity,NEULANDLAB
PTC Industries Ltd.,1,1.17,Equity,PTC
Aster DM Healthcare Ltd.,1,1.15,Equity,ASTERDM
Triveni Engineering & Industries Ltd.,1,1.14,Equity,TRITURBINE
Ami Organics Ltd.,1,1.13,Equity,BDL
Nifty,1,1.13,Equity,
Samhi Hotels Ltd.,1,1.12,Equity,
Glenmark Life Sciences Ltd.,1,1.12,Equity,GLENMARK
Fine Organic Industries Ltd.,1,1.11,Equity,FINEORG
Tata Coffee Ltd.,1,1.11,Equity,TCS
Ethos Ltd.,1,1.11,Equity,ETHOSLTD
Latent View Analytics Ltd.,1,1.11,Equity,LATENTVIEW
Divgi Torq Transfer Systems Pvt Ltd,1,1.11,Equity,DIVGIITTS
Endurance Technologies Ltd.,1,1.11,Equity,ENDURANCE
Atul Ltd.,2,1.11,Equity,ATUL
Aeroflex Industries Ltd.,1,1.1,Equity,
Updater Services Ltd.,1,1.1,Equity,
MM Forgings Ltd.,2,1.1,Equity,CUMMINSIND
Texmaco Rail & Engineering Ltd.,1,1.1,Equity,TEXRAIL
Bharat Heavy Electricals Ltd.,1,1.09,Equity,BPCL
Tata Chemicals Ltd.,2,1.09,Equity,TCS
Apar Industries Ltd.,1,1.08,Equity,APARINDS
Wonderla Holidays Ltd.,1,1.08,Equity,WONDERLA
Relaxo Footwears Ltd.,1,1.07,Equity,RELAXO
Godrej Properties Ltd.,1,1.07,Equity,GODREJCP
ICICI Prudential Life Insurance Company Ltd.,2,1.07,Equity,ICICIBANK
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),1,1.07,Equity,IIFL
Ahluwalia Contracts Ltd.,1,1.06,Equity,AHLUCONT
Ganesha Ecosphere Ltd.,1,1.05,Equity,GANECOS
NIIT Learning Systems Ltd.,1,1.05,Equity,NIITLTD
Repo,1,1.05,Others,
Hindware Home Innovation Ltd.,1,1.05,Equity,HINDWAREAP
Asahi India Glass Ltd.,1,1.04,Equity,ASAHIINDIA
Strides Pharma Science Ltd.,1,1.04,Equity,STAR
Heritage Foods Ltd.,1,1.03,Equity,HERITGFOOD
Dreamfolks Services Ltd.,1,1.01,Equity,DREAMFOLKS
Pokarna Ltd.,1,1.01,Equity,POKARNA
Lumax Industries Ltd.,1,1.01,Equity,LUMAXTECH
Ceat Ltd.,1,1.0,Equity,CEATLTD
HI TECH PIPES LTD.,1,1.0,Equity,HINDUNILVR
National Aluminium Company Ltd.,1,0.99,Equity,PNB
Varroc Engineering Pvt. Ltd.,2,0.99,Equity,VARROC
Hatsun Agro Product Ltd.,1,0.99,Equity,HATSUN
Sagar Cements Ltd.,2,0.98,Equity,SAGCEM
Signatureglobal (India) Ltd.,1,0.97,Equity,
Indian Energy Exchange Ltd.,1,0.96,Equity,IOC
SKF India Ltd.,1,0.96,Equity,SKFINDIA
Havells India Ltd.,2,0.95,Equity,HAVELLS
Natco Pharma Ltd.,1,0.95,Equity,NATCOPHARM
Nitin Spinners Ltd.,1,0.92,Equity,NITINSPIN
Kotak Mahindra Mutual Fund (Kotak Liquid Fund - Direct - Growth),1,0.92,Debt,KOTAKBANK
Aether Industries Ltd.,1,0.9,Equity,AETHER
Engineers India Ltd.,1,0.9,Equity,GRSE
CESC Ltd.,2,0.9,Equity,CESC
The Great Eastern Shipping Company Ltd.,2,0.8999999999999999,Equity,INDHOTEL
